0000	          \r          \r          \r       Zero\r[close]
0041	どこかでみたことあるこが\rあるいてるなぁっておもったら\rやっぱり、\r[player]ちゃんやったんや!\r[wait]\r[CLS]えらいひさしぶりやなぁ!\r[string 8]かげつぶり!\rもうちょっとで、アンタのかお\rわすれるとこやったでぇ!アハハ!\r[wait]\r[CLS][string 7]からひっこすとき\rどこへいくとか いわんと\rでてきてしもたから\rもう、あえへんとおもっててん。\r[wait]\r[CLS]せやから、もういっかいあえて\rむっちゃうれしいわぁ!\rまた、なかよくしてな!\rたのむで!\r[open]
0042	よのなかには、そっくりなひとが\r3にんおるっていうけど\rうちには、アンタにそっくりな\rともだちがおってんでぇ。\r[wait]\r[CLS]まえにな、うちが[string 7]に\rすんどったときに、なかよしやった\r[player]ちゃんいうこなんや。\rいまごろなにしてるんやろ・・・\r[wait]\r[CLS]いぃ!?\rアンタ、[player]ちゃんなん?\rうそぉ! ほんまにぃ!\rなんでおるんよぉ!\r[wait]\r[CLS]いやー! どないしてたぁん?\rあいたかったわぁ!\rもう2どとあえへんとおもってた!\rうれしぃわぁ!\r[wait]\r[CLS]また、あのころみたいに\rなかよぉしてな!\rやくそくやでぇ!\r\r[open]
0043	あら、[player]さんじゃない\rわたし、ちょっとまえに\rこの[town]に\rひっこしてきたのよ。\r[wait]\r[CLS]またいつでも\rあそびにきてちょうだい[nickname]!\r\r\r[open]
0044	こんにちは\r[player]さん!\rわたしが、ここにひっこしたの\rしってたかしら?\r[wait]\r[CLS][string 7]にいたときみたいに\rまた、なかよくして\rちょうだい[nickname]!\r\r[open]
0045	あら、こんばんは\r[player]さん!\rわたし、さいきん[town]に\rおひっこししてきたのよ。\r[wait]\r[CLS]でも、まだ、ともだちが\rあんまりいない[nickname]。\r[player]さん\rまた、なかよくして[nickname]!\r[open]
0046	こんなじかんに おもてを\rウロウロしているあなたは・・・\rやっぱり[player]さんだ!\r\r[wait]\r[CLS]わたし、ちょっとまえに\r[town]にひっこしてきたの。\rだから、[player]さんも\rときどき、あそびにきて[nickname]!\r[open]
0047	ハーイ、[player]ちゃん!\rおはよう あーんど おひさー!\rアタシさぁ、ちょっちまえに\rここにひっこしてきたんだよぉ!\r[wait]\r[CLS]けっこう いいところでさぁ\rきにいってんだぁ!\r[player]ちゃんもさぁ、\rときどき、あそびにきて[nickname]!\r[open]
0048	[player]、こんちわー!\r[string 7]からアタシが\rいなくなっちゃって、アセった?\rどーってことなかったの?\r[wait]\r[CLS]でも、アタシをみつけるのに\r[string 9]しゅうかんもかかったじゃん!\rえ? さがしてなかった?\rげーっ! ちょうグンジョー!\r[wait]\r[CLS]まぁいいわ。\rまたいつでも、あそびにきてね。\rまってる[nickname]!\r\r[open]
0049	こんばんは、[player]ちゃん!\rちょっと、ひさしぶりなかんじ!\rだって、[string 9]しゅうかんも\rあってないんだよぉ!\r[wait]\r[CLS]そのあいだに、アタシ\rひっこしちゃったんだからねぇ!\rそれで、[town]にいるわけ。\r\r[wait]\r[CLS]ほら、まえは[string 7]に\rすんでたじゃん。\rまたここにも、ときどき\rあそびにきて[nickname]!\r[open]
004A	あぁ! [player]ちゃん!\rしばらくぶりぃ!\r[string 9]しゅうかんぶりくらいだよねぇ!\r\r[wait]\r[CLS]アタシさぁ、ついこないだ\rここにひっこしたんだぁ!\rだからさぁ、またいつでも\rあそびにきてよね。\r[wait]\r[CLS]それにしてもぉ、あいかわらず\rこんなじかんに、おもてを\rうろついてるなんて\rふりょう[nickname]!\r[open]
004B	おはよう・・・\rあやや! [player]\rひさしぶりだよねぇ!\r[string 9]しゅうかんぶりくらい?\r[wait]\r[CLS]ボクね、ちょっとまえに\rこの[town]にひっこして\rきたんだよ!\rしってたかなぁ??\r[wait]\r[CLS]ねぇ、[player]\rまた、ときどき\rあそびにきてよねぇ\rまってる[nickname]!\r[open]
004C	やぁ、やぁ!\rなんか、ひさしぶりなひとが\rきたぞぉ!\rなぁ、[player]!\r[wait]\r[CLS]ボクがここにひっこしてくるまえに\r[string 7]であったのが\rさいごだから、\r[string 9]しゅうかんぶりだねぇ!\r[wait]\r[CLS]ひっこしたあとも、あえるとは\rおもってなかったよぉ!\rまた、あそびにきてよぉ\rやくそく[nickname]!\r[open]
004D	こんばんは、[player]!\rこんなところであうなんて\rぐうぜんだねぇ!\rだって、まえにあったあと\r[wait]\r[CLS]ボク、ひっこしたんだよぉ!\rそれに、[string 9]しゅうかんも\rあってなかったから、\rきっとボクがひっこしたところが\r[wait]\r[CLS]わかんなくなっちゃったんだと\rおもってたんだぁ!\rでも、またあえてよかったぁ!\r\r[open]
004E	こんなじかんに、おもてを\rうろついてるきみは・・・\rほーら、やっぱり[player]だ!\rそうじゃないかと、おもったんだぁ\r[wait]\r[CLS]ボクね、ついさいきん\r[town]にひっこしたんだけど\rまだあんまり、あたらしい\rともだちができなくって\r[wait]\r[CLS]さみしかったんだぁ・・・\rでも、また[player]が\rきてくれたから、\rとってもうれしい[nickname]!\r[open]
004F	おぉ、[player]じゃないか!\rおはよう!\rひさしぶりだな!\r[string 9]しゅうかんぶりくらいか?\r[wait]\r[CLS]ひっこしさきをいわないで\rここへ きてしまったから\rもうあえないとおもっていたぞ!\r\r[wait]\r[CLS]でも、こうして べつのとちで\rあえるとは、オレたち\rやっぱり、くされえんだな!\rはっはっはっはっはーっ!\r[open]
0050	やぁ![player]じゃないか!\r[string 9]しゅうかんぶりだな!\rオレ、ちょっとまえに\rここにひっこしてきたんだ!\r[wait]\r[CLS][string 7]もいいとこだったけど\r[town]もいいところだな!\rけっこうきにいってるよ。\r\r[wait]\r[CLS][player]も きてくれたし\rますます たのしいばしょに\rなりそうで うれしい[nickname]!\r\r[open]
0051	ひさしぶりだな、[player]!\rさいごに[string 7]であってから\rもう[string 9]しゅうかんだもんな!\r\r[wait]\r[CLS]そのあいだに、オレ\rこの[town]に\rひっこしてきたんだぜ!\r\r[wait]\r[CLS]おまえも、また\rときどきは あそびにこいよな!\rいつでも まってるからよ!\r\r[open]
0052	おまえ、[player]じゃないか!\rこんなじかんに、うろうろして\rあいかわらず\rこまったちゃんだな!\r[wait]\r[CLS]オレがひっこしてからあうのは\rはじめてだよな。\r[string 9]しゅうかんくらいは\rあわなかったかな。\r[wait]\r[CLS]まぁ、くされえんのオレタチだから\rそのうち さいかいするとは\rおもっていたけどな!\r\r[open]
0053	おめぇ、[player]じゃねぇか!\rあさっぱらから めずらしいヤツに\rあうねぇ。へっへっへ!\rはやおきしたかいが あらぁな!\r[wait]\r[CLS][string 7]で、あったのが\rさいごだよなぁ。ってことは・・・\r[string 9]しゅうかんぶりか!\rなげぇこと、あってなかったなぁ。\r[wait]\r[CLS]まぁ、さいかいしちまたもんは\rしょうがねぇ。\rまた、めんどうみてやるとすらぁ!\rふぁっはっはっはっは!\r[open]
0054	よぉ、[player]!\r[string 9]しゅうかんめぇに\rオレがきえちまったもんだからって\rさがしてきたわけじゃあるめえなぁ\r[wait]\r[CLS]なんでぇ、ちがうのかよ。\rちょびっときたいして\rよろこんじまったじゃねぇか!\rなんてな、わっはっはっはっは!\r[wait]\r[CLS]おっと、いつになく\rおしゃべりになっちまったぜ。\rちょっと、ハイに\rなってやがるみてぇだな・・・\r[open]
0055	なんでぇ、しけたツラしたやつが\rあるいてるとおもったら\r[player]じゃねぇか。\rこんなところで、あうたぁ\r[wait]\r[CLS]きぐうだねぇ。 へっへっへ。\rどうでぇ、けいきは?\rすむところは\rきれいになったかよ? あん?\r[wait]\r[CLS]ちっ、どんくせぇヤツだぜ\rさっさと、いいかぐをみつけて\rへやをきれいにするんだぜ!\rがんばんなよ!\r[open]
0056	こんなじかんに であるいてると\rくっちまうぞぉ!\rへっへっへ、じょうだんでぇ!\r\r[wait]\r[CLS]なぁにびびってやがるんでぇ!\rじょうだんのつうじねぇヤツだぜ。\rせっかく[string 9]しゅうかんぶりに\rさいかいしたんだしよぉ\r[wait]\r[CLS]ギャグでもかまして\rばのふんいきを\rもりあげてやろうと\rきぃつかってんのによぉ\r[wait]\r[CLS]おめぇさんのことを\rくったりしねぇから\rあんしんしなって。\r\r[open]
0057	おはようさん!\rあれぇ、[player]やないの\rどないしたん、ひさしぶりやねぇ!\r\r[wait]\r[CLS]うちが[string 7]にいたときに\rあったのがさいごやさかい\r[string 9]しゅうかんぶりやね!\r\r[wait]\r[CLS]うちな、さいきん[town]に\rひっこしてきてん。\rけっこういいとこやし\rきにいってんねん。\r[open]
0058	あら、[player]やないの\rしばらくぶりやねぇ。\rひっこすまえに ここにくるって\rいわへんかったし\r[wait]\r[CLS]もう、あえへんとおもってたわぁ!\rまぁ、うちも、あとどれくらい\rここにすむかはわからへんけど\rきがむいたら いつでも\r[wait]\r[CLS]あそびにきてな。\rまってるしな。\r・・・\rほんまやで!\r[open]
0059	こんばんは! ・・・あら\rなんかみたことあるひとやと\rおもったら、やっぱり\r[player]ちゃんやないの!\r[wait]\r[CLS]どんくらいぶりやろ?\r[string 9]しゅうかんくらいかなぁ?\rけっこうながいこと\rおうてへんかったんやなぁ。\r[wait]\r[CLS]うちな、ほんのちょっとまえに\rこの[town]に\rひっこしてきてん。\rせやから、まだともだちがおらんし\r[wait]\r[CLS][player]ちゃん\rまた、なかようしてな\rおねがいやで!\r\r[open]
005A	ふぁぁぁぁぁ、ねむたいわぁ・・・\rこんなじかんに、だれよ?\r\r\r[wait]\r[CLS]あら、[player]ちゃん!\rびっくりして、ねむけがさめたわ!\rどないしたん? ひさしぶりやね!\r[string 9]しゅうかんくらい\r[wait]\r[CLS]かおみてへんもんなぁ。\rそのあいだに、うちは\r[string 7]から[town]に\rひっこしちゃたし。\r[wait]\r[CLS]もうあえへんかとおもってたし\rなんだかうれしいわぁ!\rまた、あそびにきてな。\r\r[open]
005B	おはようございますぅ!\rびっくりした?\rわたし、せんじつ ここに\rおひっこししたのよ!\r[open]
005C	こんにちは、[player]さん!\rウフフ、わたし、ここに\rおひっこししてきたのよ!\rわすれないでね!\r[open]
005D	[player]さん、こんばんわ!\rついこないだまで[string 7]に\rいたんだけど、おひっこししたの\rだから、わたしにようがあるときは\r[wait]\r[CLS]ここにあいにきてちょうだいね!\rウフフ、まちがえちゃ\rダメ[nickname]!\r\r[open]
005E	[player]さん\rこんなじかんまで あそんでちゃ\rほんとは、いけないのよ!\rしかたないわねぇ・・・\r[wait]\r[CLS]そうそう、わたし\r[string 7]から\rおひっこししてきたの\rしばらくは、ここにいるから\r[wait]\r[CLS]ようじがあったら\rここにきてね!\rまちがえちゃダメ[nickname]!\r\r[open]
005F	おっはよー!\rねぇねぇ、アタシさぁ\rほんのなんにちかまえに\rここにひっこしてきたんだぁ\r[wait]\r[CLS][player]ちゃんには\rひみつにしとこうと\rおもったんだけどぉ\rみつかっちゃった[nickname]!\r[open]
0060	[player]ちゃんさぁ\rアタシがここにひっこしたの\rしってたわけぇ?\rなんで、あらわれるのよぉ!\r[wait]\r[CLS]アタシをしってるひとが\rだーれもいないところに\rいこうとおもってたのにぃ・・・\rなーんてね、じょうだんよぉ!\r[wait]\r[CLS]しばらくは、ここにすむからさぁ\rなんかようがあったら\rここにきて[nickname]!\rまちがえちゃ,ダメだかんね!\r[open]
0061	こんばんはー!\rアタシよ、[player]ちゃん!\r[speaker]よぉ!\r[string 7]から\r[wait]\r[CLS]ひっこしてきたんだぁ\rひっこすことは、いっといたけどぉ\rどこへいくかは\rいってなかった[nickname]!\r[wait]\r[CLS]そんときのきぶんできめようと\rおもってたからさぁ・・・\rでね、ここにきめたの!\rけっこう、いいとこなのよぉ!\r[open]
0062	おばんでーす!\rなぁんて、ハイなあいさつしてる\rじこくじゃないのよねぇ・・・\rもう、よふかししちゃって!\r[wait]\r[CLS]そうそう、アタシさぁ\r[string 7]から\rひっこしてきたんだよぉ\rしってたぁ?\r[wait]\r[CLS]だしぃ、これからは、\rアタシにようじのときは\r[town]にきてね!\r\r[open]
0063	ふぁぁぁ、ねむいなぁもう・・・\rおはよぉ、[player]。\rあぁ、いってなかったっけ\rボクね、ひっこしたんだぁ\r[wait]\r[CLS]ひっこすことは、いっといたよねぇ\rでね、ここにきたってわけ。\rだからぁ、もう[string 7]に\rいっても、ボクはいないからねぇ!\r[open]
0064	こんちは、[player]。\rついこないだ、ここに\rひっこしてきたんだけどぉ\rけっこう、いいとこだよね、ここ。\r[wait]\r[CLS][string 7]もよかったけど\rここも、きにいっちゃったな。\rしばらく、ここにすもうかなぁ。\r\r[open]
0065	[player]、こんばんは。\rボクがここにいるし\rビックリしたぁ?\rビックリしないのぉ?\r[wait]\r[CLS]なぁんだ、つまんないのぉ・・・\rボクさぁ、[string 7]から\rここに、ひっこしてきたんだぁ。\rだからさぁ\r[wait]\r[CLS]ボクにようじがあるときは、\r[string 7]じゃなくって\r[town]にくるんだよぉ。\rおぼえといて[nickname]!\r[open]
0066	ふぁぁぁぁ、ねむいっちゅーの!\rひっこしてきたばっかりで\rかたづけもすんでないし\rいそがしかったから\r[wait]\r[CLS]つかれてるんだよねぇ・・・\r[player]は\rこんな よなかでも\rげんきだよねぇ・・・\r[open]
0067	やあ、おはよう!\rははは、オレがここにいるのが\rふしぎなのかい?\rひっこしてきたのさ!\r[wait]\r[CLS][string 7]もよかったけど\rちょっときぶんを\rかえようとおもってな。\r[town]にきたんだ!\r[open]
